level,domain_id,title,source_file,question_count
senior,class-9,Class 9,Term 1 Papers 2025-26.zip/Class 9.tex,3
senior,class-3,Class 3,Term 1 Papers 2025-26.zip/Class 3.tex,3
senior,class-4,Class 4,Term 1 Papers 2025-26.zip/Class 4.tex,3
senior,class-6,Class 6,Term 1 Papers 2025-26.zip/Class 6.tex,3
senior,class-7,Class 7,Term 1 Papers 2025-26.zip/Class 7.tex,3
senior,class-8,Class 8,Term 1 Papers 2025-26.zip/Class 8.tex,3
senior,class-11-optional,Class 11 Optional,Term 1 Papers 2025-26.zip/Class 11_Optional.tex,3
senior,class-12-optional,Class 12 Optional,Term 1 Papers 2025-26.zip/Class_12_Optional.tex,3
senior,linear-equations-w1,Linear Equations W1,Class 10 Ch 3.zip/Linear Equations W1.tex,3
senior,polynomials-w1,Polynomials W1,Class 10 Ch 2.zip/Polynomials W1.tex,3
senior,polynomials-w2,Polynomials W2,Class 10 Ch 2.zip/Polynomials W2.tex,3
senior,polynomials-w3,Polynomials W3,Class 10 Ch 2.zip/Polynomials W3.tex,3
senior,polynomials-w4,Polynomials W4,Class 10 Ch 2.zip/Polynomials W4.tex,3
senior,class-4-science,Class 4 Science,Shubhi.zip/Class 4 Science.tex,3
senior,class-5-science,Class 5 Science,Shubhi.zip/Class 5 Science.tex,3
senior,class-5-maths,Class 5 Maths,Shubhi.zip/Class 5 Maths.tex,3
senior,class-3-maths,Class 3 Maths,Shubhi.zip/Class 3 Maths.tex,3
