domain_id,level,title,source_file,question_count,canonical_top,canonical_sub
pythagoras,senior,Pythagoras,Class 10 Module 1.zip/Pythagoras.tex,3,Uncategorized,Uncategorized
class-10-1,senior,Class 10 1,Tuition Entrance Test.zip/Class 10_1.tex,3,Uncategorized,Uncategorized
class-9-2,senior,Class 9 2,Tuition Entrance Test.zip/Class 9_2.tex,3,Uncategorized,Uncategorized
class-10-2,senior,Class 10 2,Tuition Entrance Test.zip/Class 10_2.tex,3,Uncategorized,Uncategorized
class-9-1,senior,Class 9 1,Tuition Entrance Test.zip/Class 9_1.tex,3,Uncategorized,Uncategorized
ch-13,senior,Ch 13,Standard class 10 Final Prep.zip/Ch-13.tex,3,Uncategorized,Uncategorized
ch-8,senior,Ch 8,Standard class 10 Final Prep.zip/Ch-8.tex,3,Uncategorized,Uncategorized
class-10,senior,Class 10,Science.zip/Class 10.tex,3,Uncategorized,Uncategorized
ch-9-1,senior,Ch 9 1,Class 10 Maths Revision.zip/Ch-9_1.tex,3,Uncategorized,Uncategorized
polynomials,senior,Polynomials,Class 9.zip/Polynomials.tex,3,Algebra,Polynomials
class-12,senior,Class 12,Viva Questions.zip/Class 12.tex,3,Uncategorized,Uncategorized
class-11,senior,Class 11,Viva Questions.zip/Class 11.tex,3,Uncategorized,Uncategorized
class-9,senior,Class 9,Term 1 Papers 2025-26.zip/Class 9.tex,3,Uncategorized,Uncategorized
class-3,senior,Class 3,Term 1 Papers 2025-26.zip/Class 3.tex,3,Uncategorized,Uncategorized
class-4,senior,Class 4,Term 1 Papers 2025-26.zip/Class 4.tex,3,Uncategorized,Uncategorized
